date,temperature_C,precipitation_mmd,pet_mmd,streamflow_mmd,aet_mm,SM_%
1992-07-15,15.8168742993332,1.75,2.29775232150523,0.14,3.61844099337055,0.133784802648965
1992-07-16,18.3137963903531,5.56,3.42041983383188,0.15,1.95668535607476,0.127299270912681
1992-07-17,19.01044535345,0.0,4.00105882383121,0.14,2.85853529649396,0.149293615433644
1992-07-18,18.3523876750925,0.0,3.67861956218922,0.13,3.70433108220177,0.139554768604163
1992-07-19,19.2411332078962,0.0,3.96814197266439,0.13,2.82366167633764,0.128719533011022
1992-07-20,15.6644574613305,21.22,2.56804568346993,0.25,3.06545759160673,0.145555113715858
1992-07-21,16.57333360686,0.17,2.41060006631139,0.32,2.45208701178912,0.191918105927527
1992-07-22,15.7892463438862,0.19,3.58322545656572,0.19,2.80035371261258,0.171313308564056
1992-07-23,16.0083523442273,1.67,2.15412290687772,0.16,3.54187156884901,0.167840325213363
1992-07-24,17.1147390808182,0.0,3.46298343809259,0.15,2.28162610963468,0.162252973090615
1992-07-25,14.949802092274,0.0,2.92296637164515,0.15,3.3663782681669,0.153576731388064
1992-07-26,16.3949522225554,0.67,3.38952718443266,0.14,2.71384041876562,0.145944536508775
1992-07-27,14.8511537105095,0.09,3.62813641134396,0.14,2.966916338811,0.140434685279898
1992-07-28,15.2946112335562,0.0,3.05978613546598,0.12,3.14271948750942,0.133426128997155
1992-07-29,16.5623996584931,0.0,3.55354339908325,0.11,2.73880000196157,0.126496429182148
1992-07-30,18.3351564222055,0.0,3.78367336806904,0.11,3.10242806951846,0.120063348205264
1992-07-31,18.1826474437864,0.0,3.41170570045152,0.12,3.22686975761767,0.115416378814495
1992-08-01,17.6805180042533,0.0,3.3881170389886,0.11,2.73559882996544,0.111884409345998
1992-08-02,17.4404326136429,2.11,2.6939373055771,0.1,2.44024349076133,0.110340905063193
1992-08-03,17.0667974028809,0.29,4.12268512121246,0.11,1.81746820528661,0.110170681051502
1992-08-04,16.2963963606282,0.0,3.89162531202964,0.1,2.97952060016894,0.108212756696255
1992-08-05,18.3251000974066,0.01,3.04148193815548,0.1,2.80302577922421,0.111883902560356
1992-08-06,16.0976284041689,0.03,3.35847421547047,0.1,2.13042561926188,0.111999011301631
1992-08-07,14.9302959370686,0.18,1.98245236701624,0.1,2.51274646049546,0.108466376482659
1992-08-08,16.0434304125741,25.95,1.06545921585589,0.36,1.43214170971224,0.138786313678549
1992-08-09,17.8065393729115,0.02,1.38194961160409,0.24,1.61321632443897,0.171521992320488
1992-08-10,16.5323210838216,0.13,2.78272019475067,0.17,1.38303814756293,0.156169574206787
1992-08-11,14.9629617765029,4.34,2.76008181631134,0.14,2.47408378749125,0.15207139459325
1992-08-12,15.1827380406665,3.5,3.1886322159781,0.15,2.43994607439926,0.163709017986227
1992-08-13,14.2611281425071,0.47,2.69291278895786,0.14,3.41266697693256,0.154705116047694
1992-08-14,14.0463657279415,0.0,3.20168635687957,0.13,2.05209735901125,0.144620821738928
1992-08-15,15.414741134085,5.22,4.032542350265,0.13,2.88204351259816,0.133817389276665
1992-08-16,15.6182785840609,0.12,2.33901505683259,0.13,3.05788631160413,0.146884443546256
1992-08-17,14.6234233183901,0.08,2.71907358655087,0.13,2.23220259912552,0.144635223156684
1992-08-18,14.5682374987578,0.0,2.8040364131222,0.13,2.4414058654539,0.135575413123572
1992-08-19,14.5752955102316,0.0,2.6681225197812,0.12,2.39868168869326,0.128812647877252
