gridcode,Lp,Lp_lower_CI,Lp_higer_CI,gamma,gamma_low,gamma_high,R2
1147,0.2296256979829499,0.22827741697855003,0.230981942375454,3.7445204352549135,3.6798086065572546,3.8092322639525724,0.5477692158259462
1148,0.2022733984807291,0.20073763942984582,0.20382090697665448,3.6536065025573796,3.56822201559002,3.7389909895247393,0.3725161808936679
1149,0.20833401539314447,0.2070416205984914,0.20963447757202888,3.5974872340824304,3.5311551926293867,3.663819275535474,0.45697257124610113
115,0.4002573442684351,0.35070729271145495,0.45680812737655363,0.8538040156941686,0.5524903131981437,1.1551177181901937,0.6732733859632343
1150,0.20000000000000176,0.2,0.20148015767247157,3.596220227704555,3.5180776187706964,3.6743628366384136,0.5034530100570658
1151,0.20000000000000007,0.2,0.20125628125800818,3.2267557310618407,3.1781803771310786,3.2753310849926027,0.6653272154475875
1152,0.20000000000000007,0.2,0.20193602650937714,2.6347224733530057,2.587322273504633,2.6821226732013783,0.6811475683711019
1153,0.21791298367723042,0.21668056389558077,0.21915241312551048,3.124741646934639,3.0798617895114164,3.1696215043578615,0.6728290643428668
1154,0.20000000000000007,0.2,0.20385458705056275,2.515495418564769,2.4285811322633846,2.6024097048661536,0.5211527180015759
1155,0.240484614458179,0.23910047518391292,0.2418767664372676,1.5855109530202494,1.562006090915964,1.6090158151245346,0.7858447081715534
1156,0.2547134061649536,0.25321515802013533,0.25622051929052975,2.237476772812657,2.198412721080121,2.276540824545193,0.6243628198942279
1157,0.2000000000000001,0.2,0.20533261248935356,1.6166950140987468,1.565525533200431,1.6678644949970627,0.5229804861029043
1158,0.20000000000000007,0.2,0.20177521718398925,2.5056060865445886,2.4627211357929824,2.548491037296195,0.7091528364185629
1159,0.20000000000000007,0.2,0.20380772661369478,1.8073051562460485,1.7637063638985628,1.8509039485935341,0.6141000470687026
116,0.2888996186976123,0.27486286670995813,0.3036532023501666,0.5000000000000001,0.5,0.7109743704635477,0.7623865530052474
1160,0.250765098440384,0.2494935454357657,0.2520431319615252,2.5128245094334742,2.480627480791222,2.5450215380757264,0.7765026384132736
1161,0.20000000000000007,0.2,0.20254119298527704,2.319191432568627,2.2468192889241223,2.391563576213132,0.3900681275542789
1162,0.24219634906614967,0.23920984380683274,0.24522014047356983,0.7236723012056193,0.6503687340903015,0.7969758683209371,0.45031012755376476
1163,0.2619889000901043,0.259665662961188,0.26433292329714747,0.9241801424023333,0.9025144731204441,0.9458458116842224,0.7414531872159639
1164,0.30394072950012857,0.2999256514524073,0.3080095570409367,0.5019330414678869,0.5,0.5340722630969116,0.683503284320395
1165,0.3146607755179805,0.31096542236027225,0.3184000423521886,0.5748325536710804,0.5387669371626811,0.6108981701794798,0.6959775885982346
1166,0.26192189910423397,0.25958735309588404,0.2642774403767989,1.0401743745951548,0.9995725239684625,1.0807762252218471,0.6350095847353896
1167,0.30332201349888566,0.3003589286986615,0.3063143295644209,1.1884505317093566,1.1401067382844376,1.2367943251342755,0.6041162621578637
1168,0.2923104619478781,0.2898736459412566,0.29476776299111207,1.3695685518214262,1.319494683177215,1.4196424204656375,0.6445184334089897
1169,0.25053792031856625,0.247440491303889,0.25367412256090077,0.8852886902830487,0.839065112830165,0.9315122677359323,0.604508854646667
117,0.6365667560839131,0.3875343052818225,1.0,0.5000000000000051,0.5,0.726271030634378,0.63918702887253
1170,0.2977031867823866,0.292726406576168,0.3027645795847516,0.5000000000000002,0.5,0.5348977002948162,0.5946011982468223
1171,0.32093853422083407,0.3162859918670961,0.3256595151109281,0.5000000000000001,0.5,0.535484586257055,0.6377636967583253
1172,0.32621213245995173,0.3214397132836724,0.33105540779946446,0.5004293102517117,0.5,0.537818270560708,0.6404223789066079
1173,0.30720305211321336,0.3028005299534053,0.3116695840730392,0.5000000000000001,0.5,0.5317202118313414,0.6154007438068194
1174,0.3254307199228773,0.32070732332507534,0.33022368298766486,0.5365122994887577,0.5,0.5760858082203255,0.657865256214048
1175,0.3550020661607521,0.3504888652740697,0.3595733829656894,0.5690059138872192,0.5352990011187168,0.6027128266557217,0.5869656405313981
1176,0.3245361848742755,0.32025999021024976,0.32886947640136127,0.5351344752038558,0.5,0.5720775389323164,0.6313853961412873
1177,0.32502606850374177,0.3211373867712941,0.3289618386358563,0.559668507133698,0.5245681755258755,0.5947688387415204,0.6365635674879437
1178,0.31317698367132035,0.31030699648284127,0.3160735149808003,0.9031568169002694,0.8668812521681983,0.9394323816323404,0.6120431707150118
1179,0.30981028864338395,0.30613824797967376,0.3135263743838689,0.5480274085479161,0.5119443685359757,0.5841104485598565,0.6931207932665666
118,0.3898459034838391,0.349926020409633,0.4343198836291712,0.5000000000000001,0.5,0.6521164110691129,0.8195893941420391
1180,0.31744279385977453,0.3129037875730059,0.3220476433190759,0.7767368299262929,0.7170071712441558,0.83646648860843,0.5801836930087764
1181,0.30538604734476377,0.30181189586691487,0.30900252504951603,0.5924279150214734,0.5543241360522978,0.630531693990649,0.6553315235900393
1182,0.32326162894873134,0.319199641171321,0.3273753077137733,0.5963203873354996,0.5518216110107709,0.6408191636602284,0.6504919671596032
1183,0.25951608895733574,0.2569174674192023,0.26214099455457296,0.8408064647393318,0.8201171409175618,0.8614957885611019,0.7146453204973578
1184,0.29683479873394203,0.2932295681897312,0.3004843552557722,0.6673720041474116,0.629876322189989,0.7048676861048342,0.6536027050830193
